№ п/п,Наименование / ФИО,Тип субъекта,Категория,ОГРН,ИНН,Основной вид деятельности,Регион,Район,Город,Населенный пункт,Вновь созданный,Дата включения в реестр,Дата исключения из реестра,Телефон,E-mail,WWW,Наличие лицензий,"Наличие заключенных договоров, контрактов","Производство инновационной, высокотехнологичной продукции",Участие в программах партнерства,Является социальным предприятием,Среднесписочная численность работников за предшествующий календарный год
210036,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГУД ВУД""",Юридическое лицо,Малое предприятие,1055009337460,5047068564,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Химки,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,57.0
240848,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСП-ГРУПП""",Юридическое лицо,Малое предприятие,1177746141682,9729057611,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.03.2017,,,,,Нет,Нет,Нет,Нет,Нет,9.0
129404,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""АВТОТЕСТ-СЕРВИС""",Юридическое лицо,Малое предприятие,1034316551972,4346054367,41.20 Строительство жилых и нежилых зданий,43 - Кировская область,,г Киров,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,3.0
465930,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОМСКЭЛЕКТРОСЕТЬСЕРВИС""",Юридическое лицо,Малое предприятие,1067017105253,7017142045,41.20 Строительство жилых и нежилых зданий,70 - Томская область,,г Томск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,18.0
457371,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОДОМ136""",Юридическое лицо,Малое предприятие,1133668011510,3665092720,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,г Воронеж,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,33.0
152602,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЮР""",Юридическое лицо,Малое предприятие,1089847150865,7813411472,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,2.0
410022,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНАЯ КОМПАНИЯ ТЕРРА""",Юридическое лицо,Малое предприятие,1177154028347,7130032479,41.20 Строительство жилых и нежилых зданий,71 - Тульская область,Ленинский р-н,,п Ильинка,Нет,10.01.2018,,,,,Да,Нет,Нет,Нет,Нет,6.0
198702,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕОПРОФИЛЬ""",Юридическое лицо,Малое предприятие,1067746316967,7715593263,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,18.0
505853,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГЭЛИТАСТРОЙ""",Юридическое лицо,Малое предприятие,1136165011036,6165186037,41.20 Строительство жилых и нежилых зданий,61 - Ростовская область,,г Ростов-на-Дону,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,8.0
354205,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСБРОКТРАНС""",Юридическое лицо,Малое предприятие,1037739712878,7727128609,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.08.2017,,,,,Нет,Нет,Нет,Нет,Нет,17.0
325435,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТИНВЕСТСТРОЙ""",Юридическое лицо,Малое предприятие,1047796149521,7720504621,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Долгопрудный,,Нет,01.08.2016,,,,,Да,Нет,Нет,Нет,Нет,22.0
5283,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОКОНС""",Юридическое лицо,Малое предприятие,1037715032827,7715278180,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.07.2022,,,,,Да,Нет,Нет,Нет,Нет,
325446,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТИНЖГЕО""",Юридическое лицо,Малое предприятие,1077759935637,7713631058,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,Нет,10.07.2022,,,,,Нет,Нет,Нет,Нет,Нет,0.0
190739,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛОГДАСТРОЙ""",Юридическое лицо,Малое предприятие,1143525002851,3525319233,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,,г Вологда,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,20.0
414583,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 9""",Юридическое лицо,Малое предприятие,1180280039356,275915355,41.20 Строительство жилых и нежилых зданий,02 - Республика Башкортостан,,г Уфа,,Нет,10.08.2018,,,,,Нет,Нет,Нет,Нет,Нет,65.0
274771,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЛОПУРГИНСКИЙ""",Юридическое лицо,Малое предприятие,1021800644590,1816004227,41.20 Строительство жилых и нежилых зданий,18 - Удмуртская Республика,Малопургинский р-н,,починок Постольский,Нет,01.08.2016,,,,,Да,Нет,Нет,Нет,Нет,1.0
372189,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК БАЗИС""",Юридическое лицо,Малое предприятие,1167847215920,7804566840,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,Нет,01.08.2016,,,,,Да,Нет,Нет,Нет,Нет,3.0
384960,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ СТРОЙ""",Юридическое лицо,Малое предприятие,1161690057540,1609036742,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),Арский р-н,г Арск,,Нет,01.08.2016,,,,,Нет,Нет,Нет,Нет,Нет,43.0
324682,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРЕСССТРОЙГРУПП""",Юридическое лицо,Малое предприятие,1115476049633,5405433883,41.20 Строительство жилых и нежилых зданий,54 - Новосибирская область,,г Новосибирск,,Нет,10.08.2018,,,,,Нет,Нет,Нет,Нет,Нет,12.0
429357,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙИМПЕКС""",Юридическое лицо,Среднее предприятие,1171690115772,1658204132,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,Нет,10.12.2017,,,,,Нет,Нет,Нет,Нет,Нет,63.0
